Tweet,ID
"""The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace in the following manner:1.)Face covering not being provided to protect employees  "" - Gateway Shell & Service in Gainesville, VA",C-1601288
"""The employer is not implementing precautions to protect employees from contracting and spreading the Coronavirus (COVID-19) in the workplace."" - Jewett Machine Manufacturing Co in Richmond, VA",C-1603245
"""There have been 11 confirmed cases of COVID-19 virus and 1 death at this facility. The plant manager was one of the 11 cases. The health department was supposed to come and shut it down for 2 weeks or give everyone a test, but  called and told them it was ok. It is a very small facility. Everyone is elbow to elbow."" - New Market Poultry in New Market, VA",C-1585508
"""Face coverings are too hot and causing us to feel dizzy, pass out."" - Volvo Trucks North America in Dublin, VA",C-1603956
"""The employer did not implement and maintain an Infectious Disease Prevention and Preparedness Program to protect employees from Covid-19.  Two employees tested positive, and the employer did not resort to isolation, quarantine, safe distancing, sanitation and use of protective equipment. "" - Sweet Hut Bakery & in Duluth, GA",C-1605700
"""Employer has not sanitized or cleaned after a COVID-19 exposure."" - ATLANTA CANCER CARE, P.C. in Atlanta, GA",C-1606226
"""1. Work areas are not being cleaned and disinfected in accordance with CDC guidance for COVID-19.2. Employees are not informed of positive COVID-19 cases and their potential exposure.3. Employees are potentially exposed to COVID-19 when providing treatment to patients."" - Tri County Treatment Center in Birmingham, AL",C-1567109
"""1. Employees are not informed of positive COVID-19 cases and their potential exposure."" - River Highlands of Birmingham in Hoover, AL",C-1567150
"""1. Employees exposed to residents with COVID-19 virus are not provided respiratory protection.2.  Employees performing housekeeping duties are not provided gloves on the carts to be used when handling/using chemicals.  3.  Employees handling chemicals are not provided respiratory protection."" - Birmingham Nursing and Rehabilitation in Birmingham, AL",C-1570184
"""Employees are exposed to workers on the renovation team who have COVID-19."" - Crestwood Manor Apartments in Winfield, AL",C-1598389
"""The employer is not following CDC guidelines in that rooms where patients diagnosed with COVID-19 are not being cleaned and sanitized."" - St. Vincent's Birmingham Bruno in Birmingham, AL",C-1599700
"""Employees are not provided Personal Protective Equipment (PPE) when required."" - Fair Haven in Birmingham, AL",C-1599789
"""Employees have tested positive for COVID-19 and the employer has not cleaned or sanitized as required."" - MERCEDES BENZ US INTERNATIONAL in Vance, AL",C-1601717
"""1.  Employees are having to work side-by-side on the line and a 6-foot distance is not maintained at the Paint and AF areas.2.  The employer is only cleaning the work areas where the exposed employees worked and not the common areas such as the breakroom and bathrooms."" - Honda Manufacturing of Alabama, in Lincoln, AL",C-1604390
"""Employees were required to return to work without waiting for the results of their Covid-19 test results.  Employees had chosen to be tested after being informed that a coworker was sent home after receiving a positive Covid-19 test result."" - MERCEDES BENZ US INTERNATIONAL in Vance, AL",C-1605025
"""1. The employer failed to ensure that forklift operators including temporary employees were trained, evaluated and certified to use forklifts in the warehouse; exposing employees to crush-by and struck-by hazards.2. The employer failed to inform employees of other employee(s) who are sick with COVID-19 (coronavirus disease) within the facility as in accordance to CDC (Center for Disease Control and Prevention) guidelines. 3. The employer failed to ensure employees were practicing social distancing, maintaining six (6) feet distance, between persons within the facility in accordance to CDC (Center for Disease Control and Prevention) guidelines for the COVID-19 (coronavirus disease) pandemic. 4. The employer failed to ensure periodic cleaning of the facility in accordance to CDC (Center for Disease Control and Prevention) guidelines for the COVID-19 (coronavirus disease) pandemic."" - Jay R. Smith Mfg. in Montgomery, AL",C-1602834
"""1. Employees are exposed to the COVID-19 virus in that the employer is not screening employees before they enter the facility.2. Employees are exposed to the COVID-19 virus in that the employer is not informing employees when a co-worker tests positive for the virus.3. Employees are exposed to the COVID-19 virus in that the employer is not requiring social distancing.4. Employees are exposed to the COVID-19 virus in that the employer is not following CDC guidelines as it concerns the wearing of mask."" - Price Rubber Corp. in Montgomery, AL",C-1603347
"""1. Employees are locked out of the front office and do not have access to handwashing facilities2. Hand soap and/or hand sanitizer is not provided to employees 3. The employer is not following CDC guidelines related to COVID"" - Lincoln Lumber of Mississippi, in Forest, MS",C-1592179
"""The employer has not implemented CDC/OSHA guidelines for prevention of COVID-19 in the Workplace for the protection of all personnel."" - Baptist Medical Center in Jacksonville, FL",C-1564208
"""The employer has not implemented CDC/OSHA guidelines for prevention of COVID-19 in the Workplace for the protection of all personnel."" - River Garden Hebrew Home in Jacksonville, FL",C-1564990
"""Was exposed to Covid with direct contact and they did not notify me of direct exposure. Employer notified employees on 04-17-2020 that a patient treated by the employee on 04-13-2020 tested positive for COVIT19. Employer have instituted the use of surgical masks and gloves after the exposure."" - GULF COAST HEALTH CARE, in Pensacola, FL",C-1575834
"""The facility has patients or employees that have been suspected of covid-19. 1. The employer does not provide gloves for employees working in the healthcare facility. 2. The employer does not provide hand sanitizer for employees working in the healthcare facility. 3. The employer does not provide dust mask for employees working in the healthcare facility. "" - San Jose Gardens in Jacksonville, FL",C-1579015
"""1. The employer is not providing dental hygienists/assistants with eye protection when conducting dental work on patients exposing them to COVID-19.2. The thermometer used for screening patients for COVID-19 is not working properly in that it doesn't give consistent results exposing employees to COVID-19."" - Bradford Family Dentistry in Starke, FL",C-1591077
"""1. A nurse's aid was tested positive for COVID-19. The nurse's aid was providing care to a COVID-19 positive patient in a room that does not have negative air pressure.  2. Employees treating a COVID-19 positive patient do not have N95 respirators because of the shortage exposing employees to COVID-19."" - Terrace Health & Rehabilitation in Gainesville, FL",C-1598592
"""a). Car racks do not have working safety locksb). A car rack has a busted hydraulic hose leaking oil on the floor creating a slip hazard and struck by hazard by falling carsc). The employer is disposing automotive radiator coolant onto the pavement, exposing employees to methyl alcohol, izopropyl alcohol and isopropyl alcohol solventsd). The restrooms are not cleaned on a regular basis exposing employees to disease and the spread of COVID-19e). The employer is not cleaning up spilled oil form the floor, exposing employees to slip hazards."" - Singleton International, LLC DBA in Jacksonville, FL",C-1603538
"""1.  Management is not enforcing the use of masks where social distancing is not possible.2.  The facility is not being thoroughly cleaned and disinfected following 3 positive COVID19 tests."" - US Postal Service in Carrboro, NC",C-1603346
"""1.  The employer is not providing mask and gloves to employees collecting and handling garbage.  Employees are concerned about exposure to COVID-19.2.  Employees are exposed to hazards while operating the ""knuckle boom trucks"" due to the poor operating conditions.  The trucks have broken frames and the long arms are leaking fluid.  The truck has failed while operating and has been welded back together.  The trucks rock back and forth while lifting garbage."" - Smithfield Town Electric Department in Smithfield, NC",C-1597240
"""The employer is requiring employees to return to campuses without putting safety protocols for COVID-19 in place."" - Onslow County Public Schools in Jacksonville, NC",C-1597254
"""There are several cases of COVID-19 at the facility.  There is a concern that employer is not sanitizing areas where employees that tested positive properly exposing other employees to COVID-19 virus. Employees that are showing symptoms are still being required to come to work until they can be tested ."" - Mount Olive Pickle Company, in Mount Olive, NC",C-1602971
"""The employer is not following CDC guidelines to reduce worker exposure to the covid-19 virus and there have been 4-5 employees that have tested positive for the virus:  1.  Workers on production lines are two feet apart.  Social distancing of six feet is not being enforced.  2.  Face masks are not being worn by all workers.  3.  The facility is not being sanitized as often as it should be for the virus."" - Franklin Bakery Company, LLC in Goldsboro, NC",C-1597247
"""1.  Employees could have been, or still could be, exposed to the COVID-19 virus in the workplace, due to employees not being provided with proper PPE, and not being informed when some of the employees were diagnosed with the infection.2.  Employees' health could be harmed due to an infestation of cockroaches, and the premises being inadequately cleaned/sanitized."" - J - C CRAB in Greensboro, NC",C-1602976
"""1. N-95 respirators or any other face mask is not provided for employees working near or around positive or suspected COVID-19 patients. It is unknown if any employees have been infected."" - Pawleys Pediatric and Adult in Pawleys Island, SC",C-1568324
"""(1) Plant facility has only been reopened for a week 05/11/20-05/16/20.During this short period of time there has been 4 cases of Covid-19 and one death. This is a serious compromise of employee's safety. These numbers are much too high for a single facility in one week. Many lives will be lost over this senseless act. It is a blatant disregard for the employees wellbeing. The facility should be closed temporarily and quarantined until the Covid-19 numbers can be controlled."" - Continental Tire The Americas in Sumter, SC",C-1591604
"""1. Employees are concerned with exposure to the coronavirus (COVID-19) due to the employer's failure to adhere to OSHA/CDC recommendations including but not limited to disinfecting tractors and forklifts operated by various employees, and providing employees with EPA approved disinfectant and disposable towels so that employees can disinfect work surfaces including vehicle interiors.2. Employees are not provided lighting at night while fueling tractors."" - Central Transport LLC in Memphis, TN",C-1599943
"""1. Employees are concerned with exposure to the coronavirus (COVID-19) due to the employer's failure to adhere to OSHA/CDC recommendations. Employees are not provided with adequate personal protective equipment to protect from the coronavirus (COVID-19) including but not limited to disposable gowns, face shields, and N95 masks. Employees are not provided with adequate hand sanitizer to protect against the spread of the coronavirus (COVID-19).2. Patient rooms are not adequately sanitized after housing patients that tested positive for the coronavirus (COVID-19) causing employees to possibly be exposed to the coronavirus (COVID-19)."" - Quince Nursing and Rehabilitation in Memphis, TN",C-1600525
"""The employer is not following proper COVID-19 protocols."" - Barrett Distribution Centers in Memphis, TN",C-1602597
"""1. Employees are not being protected from potential exposure to COVID-19."" - Wilson Sporting Goods Company in Mount Juliet, TN",C-1606246
"""The employer has made employees sign a paper saying that employees will wear masks, but is not enforcing the use of face masks."" - Mercedes-Benz of Knoxville in Knoxville, TN",C-1595518
"""1.  Employees are not being protected from potential exposure to COVID-19."" - Aldi Inc. (Tennessee) dba in Mount Juliet, TN",C-1597114
"""1. Employees are exposed to COVID-19 due to the employer not providing PPE when employees use the drive up tube.Possible related statute: OSH Act Section 5(a)(1)2. Employees are exposed to COVID-19 due to the employer not providing sanitizing operations when employees use the drive up tube.Possible related statute: OSH Act Section 5(a)(1)3. Employees are exposed to COVID-19 due to the employer not enforcing social distancing.Possible related statute: OSH Act Section 5(a)(1)"" - First National Bank of in Lake In The Hills, IL",C-1578182
"""1. Employees are exposed to COVID-19 due to the employer failing to enforce social distancing.Possible related statute: OSH Act Section 5(a)(1)2. Employees are exposed to COVID-19 due to the employer failing to disinfect the work area. Possible related statute: OSH Act Section 5(a)(1)"" - Capron Manufacturing in Capron, IL",C-1603483
"""1) Employees are required to be working face-to-face with clients while the option to speak with clients on the phone is available."" - Brightview LLC in Cincinnati, OH",C-1556499
"""Employees are exposed to biological hazards due to:1. Not being provided the proper PPE such as isolation gowns and face shields/goggles (outside patient rooms at 3 Northeast and outside positive pressure rooms at 2 North).2. Not being provided N95 or higher respirators, while working with patients identified for 'droplet precautions', while performing aerosol-generating procedures and patient care with airborne transmitted disease risks."" - Adena Health System in Chillicothe, OH",C-1570881
"""Employer has installed fans in the 7NW unit in order to create a negative air flow.  The fans were not installed properly and are blowing contaminants back into the rooms and down the hallway exposing employees to contaminates."" - University of Cincinnati Medical in Cincinnati, OH",C-1582727
"""When employees test positive for CODIV-19 or are symptomatic and are sent home; the employer is not properly cleaning and sanitizing shared equipment to prevent other employees from being exposed to the virus. "" - Meyer Tool in Cincinnati, OH",C-1591185
"""Employees are exposed to the following alleged hazards:1. Employees are exposed to serious health hazards associated with COVID-19/Coronavirus due to lack of necessary environmental cleaning and hygiene throughout the salon. Employees are not provided with the necessary PPE to clean the salon."" - Charles Penzone, Inc. DBA in Columbus, OH",C-1598626
"""1) Employees are allegedly not being made aware of other employees who may have been exposed to COVID-19"" - JOANN Fabrics and Crafts in Brookfield, WI",C-1602019
"""The employer is allegedly not implementing safety measures to limit possible exposure to Covid-19 from patients visiting the facility."" - Wisconsin Endodontic Group in Wauwatosa, WI",C-1602130
"""Employer is not notifying employees of positive Covid-19 cases throughout the facility. Employer is not enforcing social distancing, nor are they assuring that employees are wearing protective face masks within the work place to limit possible spread of Covid-19."" - Badger Wire W226 N758, in Waukesha, WI",C-1604261
"""1.  A personal protective equipment assessment has not been conducted for the medical staff.2.  Medical staff has not been provided with personal protective equipment such as but not limited to: respirators. Location:  Throughout the facility"" - Burnett Medical Center in Grantsburg, WI",C-1554633
"""1. The employer is not following the CDC guidelines with respect to wearing masks or face coverings when interacting with other staff and is not following CDC social distancing guidelines.Applicable OSHA standard(s): Section 5(a)(1) General Duty Clause of the Occupational Safety and Health Act of 1970, 1910.141"" - Lake Forest Dental Arts in Lake Forest, IL",C-1601002
"""1. Employees are exposed to Solid Surface Disinfectant manufactured by Forward Science and employees are not trained on the physical and health hazards and the measures employees need to take to protect themselves.2. Employees are exposed to Solid Surface Disinfectant and are not provided and required to use protective gloves and eye protection.3.  Employees are exposed to illnesses including coronavirus and the Solid Surface Disinfectant is not used with ten minutes of standing time so that it can affect any surface contaminated with virus."" - Jo-Ann Fabric in Bloomington, IL",C-1600658
"""Employees are exposed to illnesses including coronavirus and the employer is reusing the plastic probes for the thermometer that is inserted into mouths and in some cases not taking the temperature of the workers."" - Washington Senior Living, LLC in Washington, IL",C-1602193
"""1. Employees are exposed to illnesses including coronavirus and the employer is not evaluating employees for fever and other symptoms, ensuring the use of masks, and able to distance themselves from patients when taking vitals and other activities.2. Employees are exposed to illnesses including coronavirus and the employer is not sanitizing work surfaces and ensuring adequate time for the chemicals to act on contaminated surfaces.3. Employees are exposed to bloodborne pathogens during veni-puncture activities and the employer does not require the use of gloves.4. Employees are exposed to bloodborne pathogens when they provide B12 injections outside the facility, recap the needle and then return to the facility to dispose of the sharps device."" - Peoria Weightloss Clinic, LLC in Peoria, IL",C-1604944
"""Employees have been getting headaches, possible source is the bathrooms.The facility is not sanitized, including linen disposal and trash area."" - Greenfield Healthcare Center in Greenfield, IN",C-1543846
"""Unsafe working conditions in regards to Covid 19 virus. Most areas do not have disinfectants for workers to use to keep work areas clean. Time machine require everyone to use their fingers to clock in and out. Many workers work within 2 feet of each other.Management is not taking this virus serious and everyone working here is at a greater risk of contracting and spreading the virus."" - Allison Transmission Inc in Indianapolis, IN",C-1556197
"""There is no sanitizer available to wipe down work area, no disinfecting of all work areas between shift, not sanitizing system at timeclocks where multiple employees touch surfaces."" - Allison Transmission Inc in Indianapolis, IN",C-1557092
"""Employees aren't being supplied with sanitizer for use between use of shared items, part, tools, workstations, between shifts.  This is most apparent when clocking in, sharing airspace, and touching the same keypads and surfaces."" - Allison Transmission Incorporated in Indianapolis, IN",C-1557918
"""Putting the hourly employees at risk of catching Covid-19 as they handle thousands of parts then pass them to the next person while working closely together."" - Allison Transmission Incorporated in Indianapolis, IN",C-1557942
"""The possible spread of covid -19. Workers are expected to work almost elbow to elbow and the steps they are taking to help with spread is ridiculous. Trash bags on chairs, washing hands with cold water, wiping down an area where people have been sick with disinfectant spray and must continue working. Bathrooms flood or back up with waste, especially women's bathroom."" - Allison Transmission Incorporated in Indianapolis, IN",C-1558676
"""Employees are being told to wear regular face masks. Employee are being told not to wear the N95 masks. There is not enough airborne rooms for patients. Employees are being told to wear only droplet masks into rooms until the patient has been confirmed to have coronavirus. Employees are not protected and could potentially spread to other employees and patients. For TB Rooms, employees are told to wear N95 masks until is has been verified, but not for coronavirus potential patients. Employees checked off on PPE requirements and were told to wear N95 masks but then when they go to work they are told to wear regular face masks."" - Franciscan Health Michigan City in Trail Creek, IN",C-1561448
"""A possible COVID 19 case was suspected and at time of sending resident out to be tested staff did not have proper PPE provided for them and many were exposed."" - Mill Pond Health Campus in Greencastle, IN",C-1561460
"""Too close to work together its dangerous to work and now with this pandemic they have people work when they are sick. The employees are on top of each other. They tell people they have to work and are threatening people's jobs. They had a meeting and had everyone close together. Employees are told if they get sick they get sick but they better get a doctor's release to come back or don't."" - Elkhart Coach in Elkhart, IN",C-1562688
"""Everybody is cramped together in one building, its employees and 2 other companies. They have people cutting wood and sawdust flying around right by welders. Quite a few employees have already been hurt. They refuse to work with employees to try and make it safer for them, they won't listen to employees."" - Elkhart Coach in Elkhart, IN",C-1562689
"""Not changing gloves, possibly exposing any person to infection of any source but especially covid 19, made to use one pair all day long while checking each person into the hospital. This puts everyone at risk even other care workers."" - Community Hospital North in Indianapolis, IN",C-1562692
"""There is no proper social distancing. There are no gloves, no masks, no mandatory disinfecting methods. "" - Signature Graphics Inc. in Porter, IN",C-1564426
"""The company has had employees who tested positive for Cornavirus and yet they are still open and expecting employees to show up for work. They do not offer any kind of PPE or hand sanitizer to their employees. There is a finger print time clock that is used that isn't cleaned between each employee. There is a breakroom with trash bags over chairs that are supposed to be changed out after employees sit in them. "" - Allison Transmission Inc in Indianapolis, IN",C-1565297
"""Two providers have been out with mid-grade fevers and management is covering it up and not following up with any patients that were potentially exposed nor are they taking any precautions for any staff that were potentially exposed at all. Providers travel to all 3 clinics listed below."" - Center for Pain Management in Greenwood, IN",C-1565317
"""Employees are forced to work in close proximity to each other (over 200 employees). "" - Crossroads Farm Dairy in Indianapolis, IN",C-1567521
"""There was an employee that was diagnosed with the covid-19 virus and I do not believe they are adhering to the social distancing."" - Blue River Industries in Salem, IN",C-1567523
"""They are not practicing social distancing. Employees are working closer together than six feet. It is impossible for employees to work without being within six feet of each other. There were between 50-100 employees sent home. All employees sent home with symptoms or have been in direct contact with sick employees. There are confirmed cases of COVID-19 and employees presumed positive for COVID-19. Employees are expected to come into work. Employees are coming into work sick and having been exposed. The chemical being used to clean is only sprayed and wiped quickly in small areas of the facility and work continues. The labels have been removed from the chemicals being used. The chemicals being used were not approved to kill the coronavirus. They have not cleaned areas where the employees who are sick and have been exposed were working."" - Allison Transmission Incorporated in Indianapolis, IN",C-1567526
"""During this COVID-19 pandemic we are being forced to work in very unhealthy conditions. There has been one confirmed positive case (that we know of) for Coronavirus and at least 30 people sent out for being sick. On paper the company looks as if they are following all CDC and government requirements when it's not true. We basically work side by side and after sick people leave, management says nothing so others come behind them , touch the same surfaces and work, then decide hours later to clean or halfway disinfect. If Allison Transmission is considered an 'essential' business then why is everyone not there working? Mainly all of upper management and office personnel were allowed to work from home. It has turned into a very scary and hostile environment. We are being forced to choose work over our lives. We are threatened with being disciplined for wanting to be off for our own health and safety. This virus is spreading quickly and those of us that are there are scared to death for ourselves and our loved ones."" - Allison Transmission Incorporated in Indianapolis, IN",C-1568338
"""Precautions were not taken to prevent exposure. On March 20th, they shut down the building because an employee had been hospitalized since 3/10/2020 and passed away. The employer shut down the office and said they were going to disinfect. They bought sanitizer and were going to take buses to Louisville, KY to disinfect. The employees were not provided PPE when cleaning the buses. Employees do not have any Lysol, they do not have any masks. At least 4 - 5 employees are sick with symptoms on 2nd shift and 3rd shift. The other employees who have been sick have not been tested. Employees had been called off and they have been sick, they were brought back in and told to fix the bus. They are still dispatching buses. They are sending out these buses with sick employees working on them.  8 - 10 employees in the office. The employees were then told they could be furloughed. The shop is open. The business is still operating."" - Miller Transportation in Indianapolis, IN",C-1571317
"""Concerns related to Covid-19, workers are not allowed to wear masks in spite of positive cases being present."" - Saint Joseph Health System in Mishawaka, IN",C-1571320
"""We are an essential business but we aren't being told to do 6 ft social distancing. They randomly send only certain people to work from home without any actual plan behind who they choose. We can now all work from home with company laptops, but for some reason they are still requiring people to come into the office. There are 4 employees who have been told by doctors to stay at home to quarantine. They are doing nothing for the health safety of employees aside from sitting out lysol wipes. There are 50 people in the call center at a time and we all work in close contact with each other even sharing desks between the different shifts."" - B I Incorporated in Anderson, IN",C-1571349
"""Confirmed case of COVID-19 in the facility, concern as the facility houses sick children."" - St Joseph Carmelite Home in East Chicago, IN",C-1571361
"""All employees are sent to customers homes to move them, employees are not known which customers are exposed to covid-19. Employees are still working even because they're considered essential to the company. "" - Planes Moving - Storage in Indianapolis, IN",C-1571368
"""Employees reusing disposable gowns that are soiled, disposable face shields that are falling apart, and surgical masks (non fit tested or airtight ie n95) in rooms with confirmed covid patients. There is limited sanitation wipes to wipe equipment down. "" - Community Hospital South in Southport, IN",C-1571400
"""Employer not enforcing social distancingCoworker tested positive for covid-19No hot water in the bathroomsEmployer no providing hand sanitizerEmployees have to use touch time clock that could be infected "" - Allison Transmission Inc in Indianapolis, IN",C-1572174
"""Employees work with powder color to color the stone and brick which is hazardous material it states that on the packaging and it also causes cancer which is also labeled on the bags of powder color. North Star Stone does not have proper ventilation in the building. Only ventilation is when they open the bay doors also North Star Stone does not provide protective masks or hazmat suits especially during this time with the covid-19.  Also they are not practicing social distancing. "" - North Star Stone in Valparaiso, IN",C-1572933
"""Employees state there are cases of the corona virus in the workplace, and the company is not shutting down."" - Sycamore Springs Health in Lafayette, IN",C-1572972
"""Employees with covid-19.  It is not believed that they have had professional cleaners coming in or sanitizing and they are not wearing proper safety equipment they are also can't obey the 6ft distance."" - Nice-Pak Products Incorporated in Mooresville, IN",C-1572982
"""Family member passed away yesterday due to COVID-19. He has been told to self-quarantine and the employer is telling him to return to work. Late last night they said stay at home but he must use time available to maintain his full-time status."" - Porter Regional Hospital in Valparaiso, IN",C-1573702
"""Working; may not be essential.Employee has COPD and Emphysema and at high risk."" - Zimmer Biomet in Warsaw, IN",C-1573710
